New York Carbon Dioxide Emissions from Fossil Fuel Consumption (1970-2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,0.8,0.7,0.5,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Petroleum Products,28.8,28.6,29.7,29.6,27.2,26.3,29.4,29.0,28.7,20.5,17.5,16.3,15.0,13.9,17.0,17.0,18.0,20.0,20.5,18.7,15.2,14.5,15.6,14.8,14.4,13.8,14.7,14.3,13.2,14.2,17.7,17.9,16.2,17.0,17.0,17.3,13.3,14.6,13.8,10.7,10.3,9.4,10.6,9.2,10.3,10.6,8.2,7.7,9.9,9.9,7.6,9.4
,Natural Gas,18.8,19.1,19.7,18.7,18.5,17.6,18.3,17.5,17.8,16.8,18.1,18.2,18.6,17.5,18.3,17.4,18.3,18.3,19.5,19.9,18.4,18.4,20.7,21.0,21.0,20.5,22.0,20.5,18.5,20.2,21.9,20.6,20.1,22.3,21.4,22.1,19.3,21.7,21.4,21.9,21.2,21.5,19.6,22.8,25.1,24.7,22.5,23.6,26.5,25.9,23.9,24.3
,Total,48.4,48.4,49.9,48.7,46.0,44.2,47.8,46.7,46.7,37.5,35.8,34.7,33.8,31.6,35.6,34.6,36.6,38.5,40.2,38.7,33.8,33.0,36.4,35.9,35.4,34.4,36.8,34.9,31.8,34.5,39.6,38.5,36.3,39.4,38.4,39.4,32.7,36.4,35.1,32.7,31.5,30.9,30.2,32.0,35.3,35.3,30.7,31.4,36.4,35.7,31.5,33.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,0.7,0.7,0.6,0.7,0.7,0.6,0.5,0.6,0.7,0.6,0.6,0.9,1.2,0.8,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.6,0.5,0.4,0.4,0.5,0.6,0.5,0.3,0.4,0.2,0.2,0.1,0.2,0.3,0.4,0.3,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Petroleum Products,30.1,28.3,28.0,28.2,25.1,22.4,25.8,26.4,24.9,17.7,18.9,12.6,15.4,12.1,15.2,14.8,18.3,17.1,16.6,15.8,15.7,15.1,15.1,15.7,15.1,13.8,13.4,11.6,9.1,10.2,11.9,11.5,11.5,14.4,14.9,13.3,11.0,10.9,9.9,9.8,8.6,8.3,6.1,5.9,4.5,5.8,5.2,5.1,5.2,5.3,4.5,5.5
,Natural Gas,7.6,7.9,8.0,7.8,7.4,6.9,7.7,7.0,7.7,7.7,8.8,9.0,8.9,8.8,9.3,9.0,9.1,9.1,10.3,10.7,10.6,10.9,11.8,12.0,12.2,12.7,13.8,17.5,18.3,19.6,20.0,19.0,19.7,18.5,19.6,15.0,14.1,15.5,15.7,15.2,15.6,15.9,14.8,16.5,17.5,17.0,16.5,17.0,18.0,17.6,15.8,16.3
